No,Keyword,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,restaurante,2740000,2.768728,5,19
2,restaurante bar,12100,2.2495915,4,21
3,bar,301000,2.9417735,3,41
4,beer garden,5400,3.114819,2,22
5,beer garden restaurante,0,0,1,12
6,beer garden bar,10,0,19,19
7,cerveza artesanal,18100,2.9417735,56,33
8,cerveza artesanal de barril,110,0,6,7
9,tap room,1900,1.5574095,4,37
10,taproom,1000,2.076546,3,15
11,cervecería artesanal,590,0.692182,9,19
12,bar de cerveza artesanal,170,1.9035005,5,29
13,cervezas artesanales,18100,4.499183,70,30
14,cerveza de barril,6600,6.7487745,59,21
15,restaurante con cerveza artesanal,90,0,6,7
16,hamburguesas,301000,2.422637,5,21
17,hamburguesería,301000,10.38273,6,62
18,hamburguesas gourmet,1000,4.845274,3,19
19,alitas,110000,3.2878645,8,22
20,boneless,246000,2.9417735,10,13
21,pizza,673000,6.0565925,6,61
22,pizzas artesanales,1600,1.2113185,3,25
23,papas a la francesa,33100,8.1331385,38,18
24,snacks,60500,11.421003,5,51
25,botanas,27100,4.3261375,22,22
26,comida para compartir,480,9.690548,2,24
27,comida casual,70,0,4,20
28,comida americana,880,2.5956825,1,18
29,restaurante casual,50,0,1,18
30,restaurante para cenar,2900,3.114819,11,22
31,lugar para cenar,5400,7.35443375,11,18
32,dónde comer,5400,2.2495915,16,36
33,dónde cenar,1300,2.9417735,14,20
34,restaurante con terraza,2900,4.153092,7,16
35,terraza,110000,2.076546,3,31
36,terraza para comer,140,2.422637,12,19
37,terraza para cenar,50,8.39270675,15,18
38,pet friendly,18100,7.4409565,1,43
39,restaurante pet friendly,2900,2.2495915,6,23
40,bar pet friendly,210,3.807001,2,35
41,restaurante para grupos,10,0,20,20
42,bar para grupos,0,0,1,12
43,cumpleaños,90500,5.191365,15,31
44,festejar cumpleaños,880,20.419369,3,15
45,lugar para cumpleaños,210,21.9767785,5,30
46,after office,210,0,1,22
47,after work,260,0,1,37
48,salir con amigos,1300,0,1,26
49,restaurante para parejas,210,3.46091,15,20
50,restaurante familiar,4400,2.2495915,4,27
51,bar con ambiente,20,0,1,14
52,música en vivo,6600,4.499183,2,15
53,eventos,33100,25.0915975,1,85
54,cata de cerveza,170,0,2,14
55,maridaje de cerveza,40,0,1,13
56,degustación de cerveza,20,0,12,17
57,cerveza local,20,0,46,32
58,cerveza independiente,10,0,1,18
59,cerveza mexicana artesanal,880,2.5956825,98,12
60,cerveza IPA,2400,7.614002,97,48
61,stout,1900,5.3644105,25,11
62,porter,14800,12.54579875,1,36
63,lager artesanal,10,0,1,18
64,pale ale,1000,2.2495915,21,11
65,cerveza artesanal mexicana,880,2.768728,72,21
66,food and beer,30,0,2,14
67,comida y cerveza,170,1.9035005,3,22
68,restaurante con buena cerveza,0,0,1,4
69,bar con comida,110,0,5,15
70,restaurante cuernavaca,12100,3.9800465,12,25
71,restaurante bar cuernavaca,170,1.038273,12,20
72,bar cuernavaca,2400,1.038273,4,21
73,beer garden cuernavaca,0,0,1,12
74,beer garden en cuernavaca,0,0,1,4
75,cerveza artesanal cuernavaca,50,0,53,29
76,cervecería artesanal cuernavaca,0,0,1,12
77,bar de cerveza artesanal cuernavaca,0,0,1,4
78,tap room cuernavaca,0,0,1,12
79,taproom cuernavaca,0,0,1,17
80,hamburguesas cuernavaca,880,0.5191365,11,25
81,hamburguesas gourmet cuernavaca,0,0,1,12
82,alitas cuernavaca,390,0.692182,17,21
83,boneless cuernavaca,20,0,14,23
84,pizza cuernavaca,320,5.0183195,8,20
85,pizzas artesanales cuernavaca,0,0,1,12
86,snacks cuernavaca,0,0,1,17
87,botanas cuernavaca,110,0,5,20
88,comida casual cuernavaca,0,0,1,12
89,restaurante casual cuernavaca,0,0,1,12
90,dónde comer en cuernavaca,880,3.2878645,21,21
91,dónde cenar en cuernavaca,260,4.06656925,24,13
92,mejores restaurantes de cuernavaca,170,3.46091,19,17
93,mejores bares de cuernavaca,0,0,1,4
94,restaurante con terraza cuernavaca,0,0,1,4
95,terraza cuernavaca,170,0.8652275,7,20
96,restaurante pet friendly cuernavaca,390,2.076546,6,26
97,bar pet friendly cuernavaca,0,0,1,4
98,restaurante para grupos cuernavaca,0,0,1,4
99,lugar para cumpleaños cuernavaca,0,0,1,4
100,after office cuernavaca,0,0,1,12
101,after work cuernavaca,0,0,1,12
102,música en vivo cuernavaca,0,0,1,4
103,eventos cuernavaca,260,0,2,17
104,cata de cerveza cuernavaca,0,0,1,4
105,maridaje de cerveza cuernavaca,0,0,1,4
106,cerveza local cuernavaca,0,0,1,12
107,cerveza independiente cuernavaca,0,0,1,12
108,cerveza de barril cuernavaca,20,0,19,11
109,comida y cerveza cuernavaca,0,0,1,4
110,bar con comida cuernavaca,0,0,1,4
111,restaurante con cerveza artesanal cuernavaca,0,0,1,4
